COLIN MUNARO(NEW ZEALAND)BATTING PERFORMANCE,,,,,,,
,,,,,,,
,,,,,,,
YEARS,VS,RUNS,BALL FACED,4S,6S,DISMISSED,FIFTY/NO FIFTY
2015,AUSTRALIA,23, 26, 2, 0,CAUGHT,NO
2018,AUSTRALIA,3, 3, 0, 0,CAUGHT,NO
2018,AUSTRALIA,76, 33, 6, 6,CAUGHT,YES
2018,AUSTRALIA,29, 14, 3, 2,CAUGHT,NO
2013,BANGLADESH,73, 39, 3, 5,NOT OUT,YES
2016,BANGLADESH,35, 33, 1, 2,BOWLED,NO
2017,BANGLADESH,0, 2, 0, 0,CAUGHT,NO
2017,BANGLADESH,101, 54, 7, 7,CAUGHT,YES
2017,BANGLADESH,0, 3, 0, 0,CAUGHT,NO
2013,ENGLAND,28, 19, 0, 3,BOWLED,NO
2013,ENGLAND,7, 8, 1, 0,CAUGHT,NO
2013,ENGLAND,1, 3, 0, 0,CAUGHT,NO
2013,ENGLAND,0, 0, 0, 0,NOT OUT,NO
2015,ENGLAND,1, 2, 0, 0,BOWLED,NO
2016,ENGLAND,46, 32, 7, 1,CAUGHT,NO
2018,ENGLAND,11, 13, 2, 0,CAUGHT,NO
2018,ENGLAND,57, 21, 3, 7,CAUGHT,YES
2019,ENGLAND,21, 20, 1, 2,CAUGHT,NO
2019,ENGLAND,7, 5, 0, 1,LBW,NO
2019,ENGLAND,6, 8, 0, 0,CAUGHT,NO
2019,ENGLAND,30, 21, 3, 0,CAUGHT,NO
2019,ENGLAND,46, 21, 2, 4,CAUGHT,NO
2016,INDIA,7, 6, 0, 1,CAUGHT,NO
2017,INDIA,7, 8, 0, 0,BOWLED,NO
2017,INDIA,109, 58, 7, 7,NOT OUT,YES
2017,INDIA,7, 6, 0, 1,CAUGHT,NO
2019,INDIA,34, 20, 2, 2,CAUGHT,NO
2019,INDIA,12, 12, 0, 1,CAUGHT,NO
2019,INDIA,72, 40, 5, 5,CAUGHT,YES
2020,INDIA,59, 42, 6, 2,CAUGHT,YES
2020,INDIA,26, 25, 2, 1,CAUGHT,NO
2020,INDIA,14, 16, 2, 0,STUMP,NO
2020,INDIA,64, 47, 6, 3,RUNOUT,YES
2020,INDIA,15, 6, 2, 1,BOWLED,NO
2016,PAKISTAN,56, 27, 2, 6,BOWLED,YES
2016,PAKISTAN,4, 3, 0, 0,RUNOUT,NO
2016,PAKISTAN,7, 6, 1, 0,CAUGHT,NO
2018,PAKISTAN,49, 43, 3, 2,NOT OUT,NO
2018,PAKISTAN,1, 2, 0, 0,LBW,NO
2018,PAKISTAN,58, 42, 6, 3,CAUGHT,YES
2018,PAKISTAN,44, 28, 4, 2,STUMP,NO
2018,PAKISTAN,2, 5, 0, 0,BOWLED,NO
2012,SOUTH AFRICA,23, 18, 4, 0,CAUGHT,NO
2012,SOUTH AFRICA,8, 7, 0, 0,NOT OUT,NO
2012,SOUTH AFRICA,3, 10, 0, 0,CAUGHT,NO
2012,SOUTH AFRICA,7, 8, 1, 0,CAUGHT,NO
2014,SOUTH AFRICA,18, 7, 3, 1,CAUGHT,NO
2015,SOUTH AFRICA,0, 1, 0, 0,CAUGHT,NO
2015,SOUTH AFRICA,18, 7, 3, 1,CAUGHT,NO
2017,SOUTH AFRICA,0, 1, 0, 0,BOWLED,NO
2013,ZIMBABWE,17, 19, 2, 0,CAUGHT,NO
